Hmong,English
Pob,Rash
Pob hlwv dej yog ib yam mob pob khaus uas muaj hlwv thiab feem ntau tsuas yog cuam tshuam rau ib sab ntawm lub cev,Shingles is a painful rash that consists of blisters and usually only affects one side of the body
"Pob hlwv dej, kuj tseem hu ua pob hlwv dej, yog ib yam kab mob uas tshwm sim los ntawm tus kab mob vais lav ua pob hlwv dej rau ntawm daim tawv nqaij (varicella zoster virus, VZV), zoo tib yam li tus vais lav uas tsim ua rau muaj tus kab mob qhua pias (pob hlwv dej)","Shingles, also called herpes zoster, is a disease caused by the varicella zoster virus (VZV), the same virus that causes chickenpox (varicella)"
pob kab ntxau,pimple
pob kab ntxau dub,blackhead
pob khaus,Rash
pob kiav txhab,lesion
pob ntseg nrov ziv,tinnitus (ringing in the ears)
Pob qij txha,Joint
pob tsaig,chin
pob txha,bone
pob txha mos,cartilage
pob txha nqaj qaum,backbone
pob txha nyob tsis yog chaw,dislocated
pob txha o,bunion
pob txha txhauj,dislocated
pob zeb,stone
Poj Niam,Female
poj niam chaw mos,vagina
poj niam chaw mos los ntshav,vaginal bleeding
poj niam daim npluag nkauj xwb,hymen
poj niam di chaw mos sab nrauv,labia
poj niam di chaw mos sab nrauv,vulva
poj niam lub txiv mis,female nipple
pom kev deb tsis pom ze,farsighted
pom kev tsis tseeb,blurred (vision)
pom kev ze tsis pom deb,nearsighted
Pom muaj ob hom kab mob vais lav Powassan rau hauv North America thiab suav txog hom kab mob vais lav 1 thiab 2 Powassan,Two types of Powassan virus have been found in North America and include lineage 1 and lineage 2 Powassan viruses
Pom tias muaj cov menyuam yaus hnub nyoog 6 xyoo nyob hauv Minnesota yog cov muaj tus mob no ntau tshaj plaws,The average age of reported cases in Minnesota is 6 years old
pom tias tus neeg tau txais kev pab ntawd tsis yog ib tug neeg uas muaj tus mob kho tsis tau lawm,the recipient is no longer certified as terminally ill
pom ua paj,vaginal bleeding
"pom yus tus kheej zoo tsis txaus, tsis muaj nuj nqis",low self-esteem
pom zoo,consent
poob,drop
poob dej,drown
poob lossis nchuav menyuam,miscarriage
poob ntsuj plig,departure of the spirit from the body causing health problems
poob siab,nervous
Poob siab tas li txog qhov yuav saib xyuas tus me nyu am mos,Persistent doubts about the ability to care for the baby
pos hniav,gums
puag ncig lub caj dab,entire
puas,damage (harm)
Puas kis tau cov tshuaj �ricin� no los ntawm lwm tus,Can you get ricin poisoning from other people?
Puas muaj hauv kev kho mob qhua maj?,Is there a treatment for rubella?
Puas muaj hauv kev kho mob qog?,Is there a treatment for mumps?
Puas muaj kev kho mob rau tus kab mob pob hlwv dej?,Is there a treatment for shingles?
Puas muaj kev kho tus mob qhua taum no?,Is there a treatment for smallpox?
Puas muaj kev kuaj (test) seb puas mob anthrax lossis seb yus puas raug tshuaj anthrax?,Is there a test for anthrax � or anthrax exposure?
Puas muaj txoj hauv kev kho tus mob qhua maj qhua pias tau?,Is there a treatment for chickenpox?
Puas yog koj cev xeeb tub los sis tab tom yuav cia xeeb tub?,Are you pregnant or thinking of becoming pregnant?
Puas yog muaj cov tshuaj txhaj tiv thaiv mob qhua maj?,Is there a vaccine for rubella?
Puas yog muaj tshuaj tiv thaiv mob qog?,Is there a vaccine for mumps?
Pub saib tau cov ntaub ntawv thiab cov lus qhia uas sau rau hauv cov ntaub ntawv raws li cov seem 144.291 txog 144.298,Be allowed access to records and written information from records according to sections 144.291 to 144.298
puj liv,navel
Pw hauv tsev kho mob,Hospital stays
Pw nyuaj,Difficulty sleeping
"Pw tsis taus, txawm tias yog thaum tus me nyu am mos twb pw lawm los xij","Being unable to sleep, even when the baby is sleeping"
pw tsis tsaug zog,insomnia
pw ua ke,intercourse
qa,throat
"Qab teb sab hnub poob hauv xeev Minnesota mas muaj cov txhuas tooj hlau Manganese siab dua � tej co muaj siab tshaj 1,000 ?g/L","Southwestern Minnesota tends to have higher levels�some over 1,000 ?g/L"
qau,genitalia
qau,penis
qau tawv,erection
qaub,acidity
qaub ncaug,saliva
qaub ncaug,spit
qaub ncaug nplaum,mucus
qaub ncaug nplaum,sputum
qaug cawv,drunk
qaug cawv,intoxicated
Qaug dab peg,"Seizure, convulsions"
qaug dab peg; mob txiab nkhaus,epilepsy (seizure)
qaug menyuam heev,hyperemesis gravida
qaug qav,hyperemesis gravida
qaug tshuaj,intoxicated
qaug yeeb,intoxicated
qaug zog,fatigue
Qaug zog,Malaise
Qaug zog,Weakness
qaug zog tsis muaj siab lawm,emotionally exhausted
Qawj,Ulcer
qe xeeb ua menyuam,ovum
Qee cov teebmeem no tshwm sim thaum yug menyuam los yog nyob hauv thawj 2 lub xyoos ntawm lub neej,Some of these problems are noticed at birth or within the first 2 years of life
"Qee tus neeg loj uas muaj mob qhua maj, tshwj xeeb mas yog pojniam, tau txais tus mob lwm yam lossis cov mob xyaw nrog","Some adults with rubella, especially women, get sore or swollen joints"
"Qee tus neeg tsuas muaj tswhm tib qho mob ntawm txheej tawv, ua pob, los sis ua ib lub hlwv xwb","Some people may have only one sore, bump, or blister"
"Qeej cov mob VHFs mas mob tsis heev, tiamsis lwm cov mas mob nyhav heev li","Some VHFs are relatively mild, but others can be fatal"
qes taw,sprain
qes tes,sprain
"qes tes, qes taw lawm",sprained
Qhia cov kev pauv,Report changes
"Qhia kiag rau tus thawj hauj lwm los sis lub tsev txog tag nrho cov kev yuam cai uas tau iab liam tias muaj uas muaj rau kev tsis saib xyuas, tsim txom, uas muaj nrog rau kev ua raug mob xyov yog vim dab tsi, thiab/los sis kev lam muab neeg mob khoom los ntawm ib leej twg los xij uas lis kev tu kho rau lub tsev tu","Immediately reporting all alleged violations involving neglect, abuse, including injuries of unknown source, and/or misappropriation of resident property, by anyone furnishing services on behalf of the provider, to the administrator of the provider;"
Qhia koj tus kws kho mob los sis nurse ua ntej koj tsiv mus nyob lwm lub xeev los sis nroog,Tell your doctor or nurse before you move to another state or city
"Qhia koj tus kws kho mob tias koj mus ntoj ncig qhov twg los, koj txoj hauj lwm yog dab tsi, thiab seb koj puas tau kov cov neeg uas mob Ebola.","Tell your doctor where you traveled, what activities you were involved in, and if you had contact with anyone who had Ebola."
"Qhia kom pau bib tug Neeg Lis Xyuas Kev Tsis haum Siab (Grievance Official) uas muaj lub luag hauj lwm los saib xyuastus txheej txheem kev tsis haum siab, txais thiab lis xyuas cov ntawv tsis haum siab kom tiav, khiav cov kev xwj xyuas tseem ceeb los ntawm lub tsev tu; ceev kev tsis qhia tawm kom paub txog cov kev tsis haum siab cov ntsiab lus, piv txw, lub npe ntawm tus neeg mob rau cov ntawv tsis haum siab uas tau cev tsis pub leej twg paub; sau ntawv qhia kev txiav txim rau ntawv tsis haum siab rau tus neeg mob; thiab koom xyuas nrog tsoom fwv thiab xeev cov chaw hauj lwm kom tsim nyog vim los ntawm qho kev iab liam hais ntawd;;","Identifying a Grievance Official who is responsible for overseeing the grievance process, receiving and tracking grievances through to their conclusion; leading any necessary investigations by the facility; maintaining the confidentiality of all information associated with grievances, for example, the identity of the resident for those grievances submitted anonymously; issuing written grievance decisions to the resident; and coordinating with state and federal agencies as necessary in light of specific allegations;"
Qhia me ntsis ua ntej,General Overview
Qhia me nyuam tso quav tso zis,Potty trained
Qhia rau koj tus kws kho mob paub tias tus kab mob no kis nyob rau hauv cov zej zog los sis cov teb chaws uas koj tau mus ncig saib tsis ntev los no,Remind your provider that this virus is circulating in the community or in countries you may have recently visited
Qhia rau koj tus kws kho mob tias koj yuav mus qhov twg,Tell your doctor where you are traveling
Qhia rau koj tus kws kho mob txog lwm yam tshuaj koj noj,Tell your doctor about other medicines you are taking
"Qhia rau kom paub ua ntej uas tsim nyog txog cov kev hloov hauv cov kev pab los sis cov nqi, nrog rau qhov yuav tsum tau qhia yam tsawg kaum hnub ua ntej yuav txiav kev pab los ntawm qhov chaw muab kev pab, tshwj tsis yog tias:","Reasonable, advance notice of changes in services or charges, including at least ten days' advance notice of the termination of a service by a provider, except in cases where:"
"Qhia rau ua ntej, thaum twg tau, txog cov kev hloov hauv daim hom phiaj tu xyuas thaum yuav tag sim neej thiab koom tes rau hauv txhua zaus muaj kev pauv hloov","Be told in advance, whenever possible, of any change in the hospice plan of care and to take an active part in any change"
Qhia tawm,Disclose
Qhia tej kev pauv,Change Report
"Qhia tus neeg mob (los sis neeg mob tus sawv cev, thaum uas tsim nyog) paub txog nws cov cai cia neeg tuaj xyuas thiab lub tsev tu txoj cai tswj thiab txheej txheem kev ua, nrog rau kev ua nruj los sis txwv dab tsi los xij rau kev tswj tus mob los sis kev nyab xeeb los rau cov cai ntawd, uas dhos rau tej kom ua nyob qib no, seb vim cas thiaj muaj kev ua nruj los sis kev txwv, thiab seb txwv leej twg, thaum nws tau lus qhia paub txog nws cov cai lwm yam nyob rau tshooj no.","Inform each resident (or resident representative, where appropriate) of his or her visitation rights and related facility policy and procedures, including any clinical or safety restriction or limitation on such rights, consistent with the requirements of this subpart, the reasons for the restriction or limitation, and to whom the restrictions apply, when he or she is informed of his or her other rights under this section."
"Qhia txhua tus neeg mob los sis rhais ntawv qhia nyob rau cov chaw pom tseeb nyob txhua rau lub tsev tu kom hais qhia (siv qho ncauj hais) los sis sau ntawv qhia txog cov kev tsis haum siab; txoj cai ua ntawv tsis haum siab tsis pub leej twg paub; lus qhia txog tus neeg lis xyuas kev tsis haum siab uas cev tau ib daim ntawv rau, uas yog, nws lub npe, chaw nyob hauj lwm (chaw xa los sis email) thiab naj npawb xov tooj hauj lwm; seb yuav ntev li cas thiaj tuav tshawb xyuas tiav rau ib qho kev tsis haum siab; txoj cai tau ib qho kev txiav txim sau qhia txog nws qhov kev tsis haum siab; thiab qhov lus qhia cuag tau nrog cov chaw tsis txuam leej twg uas xa tau cov ntawv tsis haum siab rau, uas yog, Xeem lub chaw haj lwm muaj feem cuam tshuam, Koom Haum Kev Txhim Kho Kom Zoo (Quality Improvement Organization), Xeev Chaw hauj Lwm Kev Soj Ntsuam (State Survey Agency), thiab Xeev Chaw Hauj Lwm Muaj Kws Saib Xyuas Tu Kho Mus Ntev kev pab (State Long Term Care Ombudsman), los sis cov chaw pab tiv thaiv thiab txhawb (xyuas phab 29-30);","Notifying resident individually or through postings in prominent locations throughout the facility of the right to file grievances orally (meaning spoken) or in writing; the right to file grievances anonymously; the contact information of the grievance official with whom a grievance can be filed, that is, his or her name, business address (mailing and email) and business phone number; a reasonable expected time frame for completing the review of the grievance; the right to obtain a written decision regarding his or her grievance; and the contact information of independent entities with whom grievances may be filed, that is, the pertinent State agency, Quality Improvement Organization, State Survey Agency, and State Long Term Care Ombudsman program, or protection and advocacy system (see pages 29-30);"
"Qhia txhua tus neeg mob paub txog txoj cai, xyuas raws nws kev txaus sisb, los tos txais cov neeg uas nws qhia npe, uas muaj, tiam sis tsis tas rau, ib tug txwj nkawm (muaj nrog rau ib tug khub uas yog poj niam los sis txiv neej tib yam nws), ib tug khub vaj khub tse (muaj nrog rau ib tug khub vaj khub tse uas yog poj niam los sis txiv neej tib yam nws), tsev neeg lwm lee jib tug, los sis ib tug phooj ywg, thiab nws txoj cai los thim los sis tsis kam rau ntsib thaum twg los tau.","Inform each resident of the right, subject to his or her consent, to receive the visitors whom he or she designates, including, but not limited to, a spouse (including a same-sex spouse), a domestic partner (including a same-sex domestic partner), another family member, or a friend, and his or her right to withdraw or deny such consent at any time."
Qhia txhua tus neeg mob uas muaj cai tau Medicaid thaum muaj rub nqi kom them rau cov khoom siv thiab kev pab,Inform each Medicaid-eligible resident when changes are made to the items and services
Qhia txog,General Information
Qhia txog kev ua pej xeem neeg Mis Kas,Citizenship Information
Qhia txog qhov keeb kwm,Background Information
Qhia txog qhov keeb kwm,Nitrate in the Environment
qhib lub ncauj tsev menyuam thiab ntxuav hauv lub tsev menyuam,dilation and curettage (D & C)
Qho txoj cai mujaj nyob rau Minnesta txoj cai,Certain rights exist only under Minnesota law
"Qhov (cov) kev tus neeg mob yuav tsum kom pab uas pab tsi tau, lub tsev tu cov kev sim ua kom tau li tus neeg mob cov kev kom pab, thiab qhov kev pab uas muaj nyob rau lub chaw txais kom ncav tau rau qhov (cov) kev kom pab","The specific resident need(s) that cannot be met, facility attempts to meet the resident needs, and the service available at the receiving facility to meet the need(s)"
Qhov chaw,Facility
qhov chaw ceev/khaws ntshav cia,blood bank
Qhov chaw khiav hauj lwm muab kev pab cuam,Agency
Qhov chaw khiav hauj lwm sau nqi,Collection Agency
qhov chaw kho cov tib neeg uas mob hnyav,intensive care
Qhov chaw kho mob,Health Care Provider
qhov chaw mob,pain location
Qhov chaw muab kev pab rau thaum yuav tag sim neej yuav tsum:,The hospice must:
"Qhov chaw muab kev pab thaum yuav tag sim neej yuav tsum tau qhia thiab yais tawm cov lus qhia rau tus neeg mob hais txog nws cov cai txog daim ntawv teev qhia kev kho mob ua ntej, nrog rau ib qho hais txog Xeev txoj cai uas siv;","The hospice must inform and distribute written information to the patient concerning its policies on advance directives, including a description of applicable State law;"
Qhov chaw muag yuav tsum xyuas kom tseeb tias tej khoom yuav no yeej ncav tau rau cov neeg mob tej kev mob kev kho,The supplier shall ensure that these purchases are sufficient to meet the medical or treatment needs of the residents
Qhov chaw pab nyob tawm sab nraud,Outstation Site
qhov chaw siv tshuaj loog lossis cov kws siv tshuaj loog,anesthesiology
Qhov chaw teb xovtooj pab cuam,Call center
"Qhov chaw tu kho los sis chaw pab daim ntawv ceeb toom txog txheej txheem kev rau taug vim tsis txaus siab, uas muaj chaw nyob thiab xov tooj rau Chav Saib Xyuas Kev Tsis Txaus Siab rau Chaw Tu Kho (Office of Health Facility Complaints) thiab tus neeg pab lis kev tsis txaus siab (ombudsman) yoog raws txoj Cai Neeg Laus AsMeslivkas (Older Americans Act), seem 307(a)(12), yuav tsum raug lo rau ib qhov chaw kom pom tseeb","Notice of the grievance procedure of the facility or program, as well as addresses and telephone numbers for the Office of Health Facility Complaints and the ombudsman pursuant to the Older Americans Act, section 307(a)(12) shall be posted in a conspicuous place"
qhov chaw uas nqus cua tsis huv tawm thiab tso cov cua huv los,ventilation and filtration (space)
Qhov chaw:,Location:
"Qhov es koj raug nov, thaum nrog rau qhov es raug ntxiv rau lwm cov fai fab radiation, yuav ua rau muaj kev phom sij ntxiv rau koj lub neej es nyab tsam ho muaj kab mob khees xaws los yog mob raum","This exposure, when combined with other sources of radiation exposure, can slightly increase your lifetime risk of developing cancer or kidney problems"
Qhov es kuaj tag ntawm cov qhov dej khawb tshiab tej zaum kuj yuav kuaj tsis tau paub kom tseeb txog cov khes mis arsenic ntev mus,Test results taken when a new well is constructed may not accurately measure long-term arsenic concentrations
"Qhov es muaj cov khes mis siab thiab qis mas sib txawv ntawm ib lub qhov dej khawb mus rau ib lub, txhawm tias cov qhov dej ntawd nyob kiag ntawm ib qho chaw me me","Arsenic levels can vary between wells, even within a small area"
"Qhov es pom muaj tus kab mob coliform, tshwj xeeb yog tus kab mob E. coli (ib hom kab mob coliform bacteria), hauv cov dej haus qhia tau tias cov dej kuj muaj tus kab mob pathogens es ua rau haw quav, ntuav, tu leeg, xeev siab, mob taub hau, ua daus no, nkees nkees, thiab tej thaum kuj tuag tau","The presence of coliform bacteria, specifically E. coli (a type of coliform bacteria), in drinking water suggests the water may contain pathogens that can cause diarrhea, vomiting, cramps, nausea, headaches, fever, fatigue, and even death sometimes"
Qhov es xav kom yuav tsum noj tej yam kom muaj cov txhuas tooj hlau Manganese txhua hnub ntau npaum cas mas nyob ntawm tus neeg ntawd lub hnub nyoog thiab yog poj niam los yog txiv neej,The recommended daily intake for manganese depends on a person's age and sex
"Qhov es xav kom yuav tsum noj tej yam kom muaj cov txhuas tooj hlau Manganese txhua hnub rau cov menyuam muaj hnub nyoog siab tshaj yim xyoo thiab cov neeg laus yog noj ntau li 1,900 txog 2,600 ?g tauj ib hnub","The recommended manganese intake for children over eight years old and adults varies from 1,900 to 2,600 ?g per day"
Qhov kab mob uas tshwm sim los ntawm tus kab mob hlwb o ntawm nees sab hnub tuaj no muaj tsawg heev thiab ib lub xyoos twg tsuas muaj ob peb leej neeg qhia tias muaj tus mob no rau hauv Tebchaws Asmeslikas xwb,Illness caused by eastern equine encephalitis is rare and only a few human cases are reported in the United States each year
Qhov kev cob qhia mas yeej ua raws li ntau qhov kev puaj phais thiab yeej tiv thaiv zoo rau neeg feem coob,The guidance values are based on multiple safety factors and are overprotective for most people
"Qhov kev es soj ntsuam xyuas ib puag ncig hu ua Environmental Monitoring Program ua kom paub tseeb tias qhov es muaj fai fab radiation kom muaj rau theem es puaj phais nyob rau qhov chaw tsim cov phom tua khes mis/cuaj luaj hauv lub xeev Minnesota es yog kuaj cov dej, cov mis nyuj, thiab cov cua","The Environmental Monitoring Program makes sure radiation levels are safe around nuclear power plants in Minnesota through sampling water, milk, and air"
Qhov kev hloov chaw los sis rho tawm tseem ceeb heev rau tus neeg mob kev nyob kaj huv thiab ua pab tsis tau raws tus neeg mob cov kev kom pab nyob rau lub tsev tu;,The transfer or discharge is necessary for the resident�s welfare and the resident�s needs cannot be met in the facility;
Qhov kev kuaj hauv chav kuaj mob uas xav qhia kom kuaj no yog hu ua PCR thiab tuaj yeem ua tiav los ntawm kev so lub qhov txhab los sis kev kuaj cov plhaws kaub puab,The recommended laboratory test is called PCR and can be done by swabbing a lesion or testing a scab
Qhov kev kuaj ntawd yog �negative� yog tias tsis ua ib lub menyuam pob (lossis ua ib lub menyuam pob me me xwb) ntawm qhov chaw uas koob nkaug,The test is �negative� if there is no bump (or only a very small bump) at the spot where the fluid was injected
Qhov kev kuaj ntawd yog �positive� yog tias muaj ib lub pob loj tsawv ntawm qhov chaw nkaug koob,The test is �positive� if there is a bump of a certain size where the fluid was injected
Qhov kev kuaj TB uas yog negative ntawd feem ntau txhais tau tias koj tsis muaj TB,A negative TB skin test usually means that you don�t have TB
Qhov kev mob ntawd yog nyob ntawm seb mob hom twg:,Symptoms depend on the form the disease takes:
Qhov kev npaj qhia tau tseeb tias yuav ua dab tsi tiag thiab seb yuav ua dawb los sis them nyiaj,The plan specifies the nature of the services performed and whether the services are voluntary or paid;
Qhov kev pab cuam,Program
Qhov kev pab rau kev kawm,Training Program
Qhov kev qhia xyaum no yuav tsium muaj ua ib daim ntawv thiab ua hom uas tus neeg mob to taub taus,This orientation must be provided in a form and manner that the resident can understand
Qhov kev tiv thaiv no yuav ploj mus thaum ua neeg laus,This protection goes away as people get older
Qhov kev tiv thaiv no yuav tsis ua haujlwm zuj zus thaum koj laus tuaj,This protection goes away as people get older
Qhov kev tso npe yuav tsum muaj nyob rau tus neeg mob cov ntaub ntawv kho mob,A designation must be included in the resident�s health record
Qhov khaus no vim los ntawm tus kab zuam cov qaub ncaug thiab tsis yog tus yeeb yam mob ntawm tus kab mob Lyme,This is due to irritation from the tick�s saliva and is not a symptom of Lyme disease
Qhov kho tau zoo tshaj plaws rau kev ntxhov siab thiab kev nyuaj siab muaj xws li:,The most effective treatment for depression and anxiety can include:
Qhov Khoos Kas EHDI ntawm MDH yuav xa ib pob khoom ntawm cov ntaub ntawv qhia paub ua ntawv sau tuaj rau koj uas yuav teev txog cov peev txheej kev pab uas muaj rau koj,MDH�s EHDI Program will send you a package of written information that will outline resources available to you
Qhov koj yuav tsum them,Copay or Copayment
Qhov kuaj ntshav tau los pom muaj mob TB txhais tau tias tej zaum koj muaj kab mob TB hauv koj lub cev,A positive TB blood test result means you probably have TB germs in your body
Qhov kuaj ntshav tau los tsis pom muaj mob TB feem ntau txhais tau tias koj tsis muaj cov kab mob TB hauv koj lub cev,A negative TB blood test result usually means you don�t have TB germs in your body
qhov mob,diagnosis
"Qhov mob hnyav thiab tsis hnyav ntawd yog los ntawm hom kua sib tim ntawd, thiab seb twb ho nkag tau rau tej tawv nqaij ntev npaum li cas lawm","Symptoms will depend on the kind of solvent used, and how long it�s in contact with the skin"
Qhov mob hnyav thiab tsis hnyav ntawd yog los ntawm seb raug cov tshuaj ntawd npaum cas thiab raug li cas los xwb,"Symptoms depend on the amount of ricin, and how a person is exposed to it:"
"Qhov mob loj rau tibneeg yog pib mob ua npaws kiag, mob taub hau, caj dab txhav, ntuav, lossis tsis muaj zog","Most severe human cases begin with a sudden onset of fever, headache, stiff neck, vomiting, or weakness"
"Qhov mob no ncau ceev mus ua mob tsis feeb meej, tsis ceev faj zoo, mob nriaj tes nriaj taw, tsis hnov qab li lawm, thiab tuag npab tuag tes","The illness may then progress quickly to confusion, altered reflexes, seizures, coma, and paralysis"
"Qhov mob no ua rau nyob tsis tswm, xeeb txob, mob nriaj tes nriaj taw thiab tsis hnov qab li lawm","The illness may progress to disorientation, irritability, seizures and coma"
"Qhov mob ntawd ua rau kom yus pom sib tshooj, pom kev tsis meej, ua rau yus daim tawv muag ntsw, hais lus tsis meej pem, nqos ub no nyuaj heev, qhov ncauj qhuav qhuav, thiab cov nqaij tsis muaj zog","They include double vision, blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, and muscle weakness"
"Qhov mob ua rau cov tawv nqaij tig ua xim xiav tsawm tsawv thiab, yuav ua rau muaj mob nyhav los yog tuag taus",It can cause the lips and skin to turn a bluish color but may be difficult to detect in infants
Qhov muab faib,Allotment
qhov muag,eye
qhov muag hlav,pterygium
qhov muag lem,cross-eyed (strabismus)
qhov muag lem,strabismus (crossed-eye)
qhov muag nyob tsis ncaj,cross-eyed (strabismus)
qhov muag nyob tsis ncaj,strabismus (crossed-eye)
qhov muag plooj pom ib tug duab ua ob tug,double vision
qhov muag pom dub pes vog,floaters (black spots in front of the eyes)
qhov muag pom kev,vision
Qhov muag pom kev tsis zoo,Visually Impaired
qhov muag tsaug tsaug,eye strain
qhov muag tsis kheej xwm yeem; qhov muag plooj,astigmatism
Qhov muaj mob uas tshwm sim los ntawm tus kab mob hlwb o ntawm nees sab hnub poob no muaj tsawg heev hauv Tebchaws Meskas,Illness caused by western equine encephalitis is very rare in the United States
qhov ncauj,mouth
qhov ncauj tawm,aphthous ulcer (canker sore/fever sore)
qhov ncauj tawm,canker sore/fever sore (aphthous ulcer)
qhov ncauj tawm,fever sore/canker sore (aphthous ulcer)
"Qhov neeg yuav siv ces ntshe yog siv rau tej chaw, xws li chaw caij tsheb ciav hlau, hauv tsheb npav, lossis tej khw muag khoom xwb","The most likely possibility is the use of ricin in an enclosed space, like a subway, the inside of a bus, or a retail store"
"Qhov no kuj txawj ki yog tias yus kov tej dej ntawm lub cev, los sis tej khoom zoo li cov ntaub pua chaw pw thiab cov khaub ncaws","It can also be spread through direct contact with body fluids, or objects like bedding and clothing"
Qhov no muaj:,This includes:
Qhov no pab tiv thaiv lwm tus neeg los ntawm tus kab mob TB thaum koj hnoos,This helps protect other people from TB germs when you cough
Qhov no thiaj pab tau cov neeg lis dejnum txiav txim siab seb yuav kuaj leej twg ntxiv,This helps decide who should have a TB test
Qhov no thiaj yuav pab kom koj tau tshuaj noj tom qab uas koj tsiv lawm,They can help make sure that you get your TB medicine after you move
Qhov no thiaj yuav ua kom nws to tau zoo txog txhua yam,This is so that they can understand all of the information
Qhov no tshwm sim tau rau txhua tus uas mob LTBI txhua lub sijhawm tau,This can happen to anyone with LTBI at any time
"Qhov no txhais tau hais tias tej yam tshuaj uas ib txwm siv los kho tus kab mob TB no, kho tsis yeej tus kab mob nov lawm, thiab peb yuav tau siv cov tshuaj muaj zog dua qub los kho kom ntev loo mas thiaj li yuav tua tau tus kab mob kom tus qab","This means some of the typical medicines used to treat TB do not work, and we need to use stronger medications over a long period of time to get rid of the disease"
Qhov no txhais tau tias koj yuav tsum qhia qhov tseeb rau tus neeg lis dejnum txog koj tus mob,This means that you can be honest with your public health worker
Qhov no txhais tau tias nws muaj peev xwm uas ib tus neeg txhaj 2 koob tshuaj MMR kom tau txais cov tshuaj tiv thaiv mob qog,This means it is still possible for someone with 2 doses of MMR to get mumps
Qhov no txhais tau tias tej zaum koj muaj hom kab mob TB nyob rau hauv koj lub cev,This means you probably have TB germs in your body
Qhov no txhais tau tias yuav kuaj pom koj muaj tus kab mob TB yog tias koj muaj cov kab mob TB hauv koj lub cev,This means your TB blood test will be positive only if you have TB germs in your body
Qhov no ua rau tej yam hauv yus nruab cev tsis zoo/puas,They are damaging tissue in your body
Qhov no yog ib qho kev muaj mob xwm txheej ceev thiab cov neeg yug me nyuam mos yuav tsum tau nqis tes ua hu mus rau kiag rau Lub Tsev Hauj Lwm Saib Xyuas Xwm Txheej Ceev rau ntawm ib lub tsev kho mob uas nyob ze tshaj plaws thiab yuav tsum txhob cia lawv tus me nyuam mos nyob ib leeg,This is a medical emergency and birthing persons should be taken immediately to the Emergency Department at the nearest hospital and should not be left alone with their baby
Qhov no yog kwv yees li 1 dia tshuaj yej me ntawm cov hnoos qeev,This is about 1 teaspoon of sputum
Qhov no yog vim qhov kuaj ntshav rau tus kab mob TB tsis cuam tshuam los ntawm cov tshuaj tiv thaiv kab mob BCG,This is because the TB blood test is not affected by the BCG vaccine
Qhov no yuav siv sij hawm li 3-4 lub lim tiam,This can take 3-4 weeks
Qhov no yuav txawv ntawm cov duab uas koj pom nyob online,This may look different from pictures you see online
Qhov no yuav ua rau neeg mob antrax vim lawv nqus tau cov pa lawm,The result could be many cases of inhalation anthrax
"Qhov no yuav ua tau rau ntau tus muaj mob, suav kev uas ploj tuag coob heev","It could have a large impact on human health, including a high death rate"
Qhov nov muaj nrog rau ib qho ntawv sau qhia txog lub tsev tu cov cai tswj kev lis siv cov ntawv xub teev kev tu kho thiab Xeev txoj cai nrog ntawd,This includes a written description of the facility�s policies to implement advance directives and applicable State law
Qhov nov muaj nrog rau kev tswj xyuas kom tus neeg mob tau kev tu thiab cov kev pab raws kev nyab xeeb thiab kom nthuav tso muaj chaw ntawm lub tsev tu pab kom neeg mob muaj kev ywj phej tshaj plaws thiab tsis muaj ib qho teeb meem kev nyab xeeb,This includes ensuring that the resident can receive care and services safely and that the physical layout of the facility maximizes resident independence and does not pose a safety risk
Qhov nov muaj nrog rau txoj cai kom muaj thiab siv tau ib lub xov tooj ntawm tes uas tus neeg mob ua tus them,This includes the right to retain and use a cellular phone at the resident�s own expense
"Qhov nov muaj nrog rau txoj cai kom paub, ua ntej, se blub tsev tu ho nplua dab tsi rau ib tug neeg mob nyiaj txiag tus kheej.","This includes the right to know, in advance, what charges a facility may impose against a resident�s personal funds."
"Qhov nov muaj tiam sis tsis tas rau txhob raug ntaus, cais tawm uas tsis yeem thiab ib qho kev ceev txheem rau lub cev los sis siv yeej tshuaj twg los xij los kho tus neeg cov kev mob","This includes but is not limited to freedom from corporal punishment, involuntary seclusion and any physical or chemical restraint not required to treat the resident�s medical symptoms"
Qhov nov tsis txhais tau tias lub tsev tu yuav tsum los teb los kho raws li pom zoo rau txhua txhua qhov kev thov ntawm tus neeg mob los sis tsev neeg pawg neeg.,This should not be construed to mean that the facility must implement as recommended every request of the resident or family group.
qhov nqaij to,cut
qhov nqaij to,wound
qhov ntswg,nasal
qhov ntswg los ntshav,nosebleed
qhov ntswg txhaws thiab o,sinusitis
qhov nyuam qhuav mob tshwm sim sai heev,acute [condition]
"Qhov peev txheej no txhawb nqa nrog lub Rooj Tswj Hwm thiab Muab Peev Txheej Kev Noj Qab Haus Huv (HRSA) ntawm tsoom fwv Asmeslikas Lub Tuam Tsev Kev Noj Qab Haus Huv thiab Pab Cuam Pej Xeem (HHS) uas yog ib feem ntawm cov nyiaj peev muaj tag nrho $369,000 nrog 0% them los ntawm cov chaw uas tsis koom tsoom fwv","This resource is supported by the Health Resources and Services Administration (HRSA) of the U.S. Department of Health and Human Services (HHS) as part of an award totaling $369,000 with 0% financed with non-governmental sources"
